conference,year,title,authors
Western Finance Association,2020,Informed Trading in the Government Bond Market,Robert Czech; Shiyang Huang; Dong Lou; Tianyu Wang
Western Finance Association,2020,Economics of Proof-of-Stake Payment Systems,Giulia Fanti; Leonid Kogan; Pramod Viswanath
Western Finance Association,2020,Building Trust Takes Time: Limits to Arbitrage in Blockchain-Based Markets,Nikolaus Hautsch; Christoph Scheuch; Stefan Voigt
Western Finance Association,2020,Decentalized Mining in Centralized Pools,Will Cong; Zhiguo He; Jiasun Li
Western Finance Association,2020,Trading and Shareholder Democracy,Doron Levit; Nadya Malenko; Ernst G. Maug
Western Finance Association,2020,"Group-Managed Real Options: Voting, Polarization, and Investment Dynamics",Lorenzo Garlappi; Ron M. Giammarino; Ali Lazrak
Western Finance Association,2020,Dynamic Blockholder Incentives: Liquidity and Reputation,Ivan Marinovic; Felipe Varas
Western Finance Association,2020,Investor Tax Credits and Entrepreneurship: Evidence from U.S. States,Matthew Denes; Sabrina Howell; Filippo Mezzanotti; Xinxin Wang; Ting Xu
Western Finance Association,2020,Keeping Options Open: What Motivates Entrepreneurs?,Sylvain Catherine
Western Finance Association,2020,The Impact of Consumer Credit Access on Self-Employment and Entrepreneurship,Kyle Herkenhoff; Gordon M. Phillips; Ethan Cohen-Cole
Western Finance Association,2020,Optimal Corporate Taxation Under Financial Frictions,Eduardo Davila; Benjamin Hebert
Western Finance Association,2020,The Decline of Secured Debt,Efraim Benmelech; Nitish Kumar; Raghuram Rajan
Western Finance Association,2020,Ambiguous Credit Quality and Debt Maturity Structure,Shane Johnson; Hwagyun Kim; Ju Hyun Kim
Western Finance Association,2020,Comparing Asset Pricing Models with Non-Traded Factors and Principal Components,Rohit Allena
Western Finance Association,2020,Leveraged Funds and the Shadow Cost of Leverage Constraints,Zhongjin Lu; Zhongling Qin
Western Finance Association,2020,Open-End Funds and Cross-Sectional Asset Returns,Minsoo Kim
Western Finance Association,2020,Desperate House Sellers: Distress Among Developers,Eileen van Straelen
Western Finance Association,2020,Heterogeneous Real Estate Agents and the Housing Cycle,Sonia Gilbukh; Paul Goldsmith-Pinkham
Western Finance Association,2020,Peak Bust Rental Spreads,Christopher Parsons; Marco Giacoletti
Western Finance Association,2020,Option-Implied Dependence and Correlation Risk Premium,Oleg Bondarenko; Carole Bernard
